block,obscount,temp,precip,road_length,blockk,category
60,1,13.5574603396885,1.48365822050319,900.48733374501,60,Water
61,8,13.5255329221981,1.4770287736319,1656.38376965095,61,Water
62,4,13.5049003469681,1.47171990149423,5180.1046649943,62,Recreatie
63,34,13.484402184493,1.46673822642731,12690.6964362122,63,Water
64,19,13.4641831085827,1.46275292177432,2792.36367262203,64,Semi-bebouwd
65,11,13.4443902562666,1.45941926990713,2203.42992685044,65,Water
66,133,13.3890237171018,1.44850531313054,3407.03152431341,66,Water
67,77,13.3723674291405,1.44444241177147,4631.77932226177,67,Water
68,37,13.3568217227472,1.44038184151794,11834.1925455525,68,Water
69,52,13.3424965596001,1.43717011298923,7807.62341543476,69,Water
89,1,13.5791571831835,1.4839971658429,3028.23266814032,89,Water
90,25,13.5460387800939,1.47572986250074,2260.12266072714,90,Water
91,1,13.524246274437,1.47014452700724,2338.72218354853,91,nature reserves
92,15,13.5024176949625,1.46795868536571,4233.3264456793,92,Recreatie
93,23,13.4807058939947,1.46514671483689,756.919164836816,93,Water
94,31,13.4592695171991,1.46189537554856,3524.09306854033,94,Water
95,28,13.4382697905295,1.45750500217533,2830.96319064936,95,Water
96,24,13.4178682219916,1.45278082595552,1993.27977303169,96,Semi-bebouwd
97,36,13.3982234029151,1.44880090102306,3775.26991079709,97,Landbouw
98,8,13.3794884153163,1.44674518815556,2130.79395464297,98,Recreatie
99,1,13.3618080336909,1.44329451065696,3757.29147781925,99,Water
100,13,13.3453163529299,1.43862852808191,1802.00489240743,100,Water
101,16,13.3301338049588,1.43552687105553,8709.2398156269,101,Water
102,1,13.316366099027,1.43218700349002,1.84916122684434,102,nature reserves
104,1,,,,104,nature reserves
122,2,13.5695246286814,1.47983317029307,2353.29484844396,122,Water
123,1,13.5467495699284,1.47315090465056,1777.87898806527,123,Water
124,3,13.5237454539834,1.46806746097642,1493.39229792376,124,Landbouw
125,7,13.5006698500056,1.46389590536671,4617.20705287847,125,Semi-bebouwd
126,10,13.477689730693,1.4614433605476,1291.64549659983,126,Water
127,15,13.4549783679003,1.45892830642239,3722.61736458984,127,Water
128,16,13.4327124643721,1.45803750526592,3263.01855258621,128,Landbouw
129,9,13.4110688600916,1.45480885976174,2400.66449606236,129,Landbouw
130,5,13.3902216146993,1.45128259750196,3758.27128130892,130,Landbouw
131,6,13.3703387783048,1.44649553249554,2626.09741423535,131,Recreatie
132,19,13.3515789918807,1.4433516981852,2744.27827315235,132,Water
133,14,13.3340893503875,1.43848032533135,5899.5555300759,133,Semi-bebouwd
134,27,13.3180020708406,1.43618947946729,4112.00902384648,134,Recreatie
135,42,13.3034327224473,1.43253452030335,1243.56723430279,135,Recreatie
152,1,,,,152,nature reserves
153,1,,,,153,nature reserves
155,2,,,,155,nature reserves
156,10,,,,156,nature reserves
157,9,13.5959319785155,1.48517955886457,1978.48069870154,157,Landbouw
158,29,13.5724001954932,1.47429286989059,4798.49019363287,158,Water
159,48,13.5484270038526,1.46626078196961,2308.85232429873,159,Water
160,72,13.5241703680866,1.46375130697858,2489.19481457764,160,Water
161,11,13.4998017554454,1.46115721940212,6328.09343510654,161,Water
162,5,13.4755028960455,1.45818273851247,1517.74138580744,162,Water
163,2,13.4514628021427,1.45563646296595,3510.12171532239,163,Water
164,44,13.4278746537082,1.45576018119715,3328.0409550264,164,Landbouw
165,5,13.4049319319468,1.45508918334931,2854.99262382705,165,Landbouw
166,1,13.3828251198016,1.45227112851584,2006.27281961643,166,Landbouw
167,6,13.3617380867347,1.44956719280524,3426.81328930906,167,Landbouw
168,24,13.3418448548455,1.44608427308376,1692.89856333989,168,Recreatie
169,2,13.3233062565656,1.44224127526112,808.500929375314,169,Landbouw
170,4,13.3062672373834,1.43818454670807,2875.97639822921,170,Recreatie
171,597,13.2908539831309,1.43330719994988,2282.01051775223,171,Water
186,2,,,,186,nature reserves
187,11,,,,187,nature reserves
188,17,,,,188,nature reserves
189,7,,,,189,nature reserves
190,1,,,,190,nature reserves
191,2,,,,191,nature reserves
194,5,13.6368615518617,1.48482792520926,6273.98779212887,194,Semi-bebouwd
195,9,13.6010997203174,1.47150557859188,3863.2121920281,195,Water
196,52,13.576415710851,1.46351100887733,9292.21377394326,196,Semi-bebouwd
197,75,13.5512169286691,1.45899184242416,4423.2375023605,197,Semi-bebouwd
199,3,13.499972968635,1.45545626527923,2146.79273887552,199,Landbouw
200,9,13.474310954796,1.45695286568831,4240.87264251163,200,Water
202,21,13.4239326313714,1.455198476904,2114.37285607561,202,Recreatie
203,20,13.3996380560141,1.45441786596006,2244.46705717457,203,Water
204,5,13.3762182804102,1.45546473095513,2401.79249865574,204,Water
205,4,13.3538741408461,1.45368240516406,3864.02629643372,205,Landbouw
206,32,13.3327957195801,1.45024095640327,2816.93171263678,206,Water
207,9,13.3131589495181,1.44566024121576,2133.8713045965,207,Water
208,24,13.2951220263269,1.44092203573792,4652.81044188889,208,Recreatie
209,757,13.278822691648,1.43598853360388,1323.66714117419,209,Semi-bebouwd
210,3,,,,210,nature reserves
222,1,,,,222,nature reserves
223,1,,,,223,nature reserves
224,371,13.2641440493297,1.40031230186231,1893.81597353438,224,Semi-bebouwd
225,359,13.2747222322621,1.4013456193864,8058.98953886418,225,Semi-bebouwd
226,1424,13.2860039829879,1.41711834801659,2204.61836184515,226,Water
227,35,,,,227,nature reserves
229,1,,,,229,nature reserves
233,4,13.6326517158121,1.48403481664702,2241.28019455171,233,Landbouw
234,26,13.607564249256,1.47065895068259,3464.80912751369,234,Water
